Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof,left_foot_height,right_foot_height
0,-0.0108754942193627,-0.3417285978794098,83.9913101196289,0.5191040244688084,1.0499130806857977,92.66854539024855,9.3915205,6.3319845,23.59758,5.8455286,-8.032918,-4.2418222,7.7223773,-6.885315,-25.620272,6.02576,-6.877355,5.0566335,-0.60325253,0.7019742,-2.936106,4.914177,14.34507,-37.815674,59.4201,3.4269187,-0.4937948,8.90084,6.8692904,-14.192892,31.244549,60.960117,1.7018363,0.27036905,-11.024012,17.867614,13.185675
1,-0.0163342058658599,-0.2740413546562195,83.97139739990234,0.5339716056676284,1.1788430433273942,92.66834209970544,9.356413,6.3143997,23.696823,5.771933,-8.088889,-4.2249713,7.6463118,-6.8857455,-25.561056,5.991305,-6.8997526,5.135353,-0.60485786,0.6793071,-2.931794,4.9852095,14.362599,-37.81091,59.40504,3.3470333,-0.5075195,8.741971,6.937094,-14.219356,31.23841,60.93716,1.8334491,0.29319343,-10.91495,17.869589,13.148248
2,-0.0214362777769565,-0.2005082070827484,83.95763397216797,0.537915669378385,1.2820154248619802,92.65425913449518,9.305074,6.3371987,23.815062,5.8215175,-8.1544485,-4.223726,7.585888,-6.894732,-25.546236,6.0095897,-6.91628,5.189796,-0.5995529,0.6651946,-2.9206896,5.107366,14.401498,-37.78523,59.34439,3.2818751,-0.5637634,8.5806675,7.044202,-14.28112,31.21764,60.847687,1.9210433,0.27144548,-10.8562,17.866218,13.131543
3,-0.0259947199374437,-0.1296046376228332,83.95240020751953,0.5345875424285509,1.3319180655852207,92.61875449631766,9.350733,6.347311,23.934784,5.780063,-8.103871,-4.2183514,7.596744,-6.881398,-25.501215,5.973728,-6.87948,5.2164164,-0.5713047,0.6438797,-2.8989608,5.2229223,14.412972,-37.758156,59.273006,3.1756842,-0.6184464,8.453124,7.1508946,-14.300131,31.200214,60.73588,1.974528,0.25166288,-10.849761,17.867073,13.118586
4,-0.030374139547348,-0.0702994242310524,83.94786834716797,0.5545402841474516,1.4222844123165483,92.56758152425397,9.32087,6.345068,24.08223,5.801642,-8.06065,-4.1977954,7.5314717,-6.9117985,-25.473124,5.991923,-6.8580055,5.2740707,-0.54522383,0.6235242,-2.89998,5.42606,14.45458,-37.63318,59.09784,3.1364384,-0.65760714,8.2834635,7.3364286,-14.371216,31.138094,60.503723,1.9301856,0.23032674,-10.850848,17.87519,13.101783
5,-0.0360989607870578,-0.0306555442512035,83.95215606689453,0.6412377739622488,1.5023880945606876,92.44648142550317,9.298915,6.2476068,24.23138,5.798855,-7.934165,-4.1940274,7.481891,-7.0124116,-25.42063,5.9342375,-6.8428307,5.2272234,-0.53238237,0.5605955,-2.8812056,5.526478,14.46216,-37.6105,59.07291,3.0763235,-0.642015,8.164228,7.3517437,-14.385793,31.128155,60.361786,1.8689798,0.2719824,-10.867188,17.90963,13.10415
6,-0.0487737730145454,-0.0186865646392107,83.96440887451172,0.6919196046083697,1.5170682787241097,92.36175148104536,9.300651,6.169392,24.257753,5.8046637,-7.822133,-4.0860305,7.443321,-7.0721807,-25.299465,5.9381247,-6.809474,5.3326287,-0.5470675,0.52818084,-2.7998242,5.657716,14.495437,-37.50368,58.887066,3.1810944,-0.45289877,7.950582,7.365012,-14.454332,31.087402,60.18289,1.8088123,0.204934,-10.988938,17.943543,13.052382
7,-0.0730083510279655,-0.0411872267723083,83.971435546875,0.7363188430333716,1.5378437018558395,92.25007727443554,9.28123,6.0884852,24.334148,5.8067183,-7.7352033,-4.030254,7.346323,-7.139805,-25.13686,5.9744244,-6.810431,5.4556804,-0.5621227,0.4798349,-2.7603967,5.6814046,14.518859,-37.3669,58.769726,3.1824734,-0.30654153,7.8338227,7.2992554,-14.510633,31.004946,60.000996,1.7880682,0.16073824,-11.061082,17.969209,12.993199
8,-0.1131359636783599,-0.1023025512695312,83.9771957397461,0.7651263411141515,1.5979423691900034,92.18777079011768,9.183746,6.0156693,24.405119,5.8026223,-7.686282,-3.9638343,7.2023096,-7.2036123,-25.046215,5.98033,-6.7121196,5.6302547,-0.5769036,0.43275785,-2.7674003,5.5802326,14.532497,-37.24434,58.65895,3.126763,-0.13605294,7.8245406,7.158388,-14.548204,30.919373,59.835445,1.685485,0.14991057,-11.262411,17.989515,12.944107
9,-0.1717917770147323,-0.2098657637834549,83.99685668945312,0.8187154079807744,1.526535696160351,92.06029749242975,9.201114,5.8808026,24.462029,5.7857585,-7.4803705,-3.9325645,7.1436753,-7.312161,-24.880644,5.994659,-6.684011,5.746157,-0.6604066,0.40968406,-2.5623877,5.143113,14.574494,-36.782074,58.35604,3.166631,0.059618883,7.763564,6.747421,-14.646882,30.574312,59.317177,1.5044863,0.0553149,-11.464582,18.010734,12.904058
